District,Biometric_Count,Demographic_Count,Total_Activity,Recommendation
Pune,605762.0,327019.0,932781.0,Deploy Mobile Biometric Kits
Nashik,576606.0,181209.0,757815.0,Deploy Mobile Biometric Kits
Thane,571273.0,321925.0,893198.0,Deploy Mobile Biometric Kits
Jalgaon,417384.0,114212.0,531596.0,Deploy Mobile Biometric Kits
Aurangabad,407803.0,188613.0,596416.0,Deploy Mobile Biometric Kits
Ahmedabad,405490.0,195874.0,601364.0,Deploy Mobile Biometric Kits
Mumbai,404359.0,98239.0,502598.0,Deploy Mobile Biometric Kits
Ahmadnagar,363561.0,166392.0,529953.0,Deploy Mobile Biometric Kits
Jaipur,355884.0,218298.0,574182.0,Deploy Mobile Biometric Kits
Nagpur,350923.0,114020.0,464943.0,Deploy Mobile Biometric Kits
Kurnool,350633.0,131492.0,482125.0,Deploy Mobile Biometric Kits
Nanded,342540.0,174064.0,516604.0,Deploy Mobile Biometric Kits
Amravati,338283.0,67341.0,405624.0,Deploy Mobile Biometric Kits
Solapur,334507.0,199431.0,533938.0,Deploy Mobile Biometric Kits
Hyderabad,334285.0,187036.0,521321.0,Deploy Mobile Biometric Kits
Raigarh,331289.0,121538.0,452827.0,Deploy Mobile Biometric Kits
Yavatmal,327187.0,147024.0,474211.0,Deploy Mobile Biometric Kits
North West Delhi,325293.0,253986.0,579279.0,Deploy Mobile Biometric Kits
Visakhapatnam,311303.0,116411.0,427714.0,Deploy Mobile Biometric Kits
East Godavari,301850.0,109207.0,411057.0,Deploy Mobile Biometric Kits
Bengaluru,297075.0,222419.0,519494.0,Deploy Mobile Biometric Kits
Guntur,291694.0,128901.0,420595.0,Deploy Mobile Biometric Kits
Surat,281599.0,284241.0,565840.0,Deploy Mobile Biometric Kits
Kolhapur,271084.0,95406.0,366490.0,Deploy Mobile Biometric Kits
Sitapur,264311.0,128092.0,392403.0,Deploy Mobile Biometric Kits
Allahabad,258910.0,136577.0,395487.0,Deploy Mobile Biometric Kits
Beed,255495.0,123579.0,379074.0,Deploy Mobile Biometric Kits
Chittoor,251405.0,125600.0,377005.0,Deploy Mobile Biometric Kits
K.v. Rangareddy,248985.0,145705.0,394690.0,Deploy Mobile Biometric Kits
Latur,246741.0,95533.0,342274.0,Deploy Mobile Biometric Kits
Salem,240644.0,77898.0,318542.0,Deploy Mobile Biometric Kits
Madhubani,238135.0,130826.0,368961.0,Deploy Mobile Biometric Kits
Tiruvallur,237793.0,112153.0,349946.0,Deploy Mobile Biometric Kits
Agra,235048.0,120268.0,355316.0,Deploy Mobile Biometric Kits
Bareilly,234808.0,163749.0,398557.0,Deploy Mobile Biometric Kits
Kancheepuram,233919.0,106406.0,340325.0,Deploy Mobile Biometric Kits
Krishna,233247.0,80618.0,313865.0,Deploy Mobile Biometric Kits
Chennai,233031.0,107084.0,340115.0,Deploy Mobile Biometric Kits
Purnia,228551.0,107048.0,335599.0,Deploy Mobile Biometric Kits
South 24 Parganas,224627.0,307964.0,532591.0,Deploy Mobile Biometric Kits
Malappuram,224009.0,108598.0,332607.0,Deploy Mobile Biometric Kits
North 24 Parganas,223910.0,219184.0,443094.0,Deploy Mobile Biometric Kits
Alwar,223449.0,110575.0,334024.0,Deploy Mobile Biometric Kits
Sangli,223013.0,66605.0,289618.0,Deploy Mobile Biometric Kits
South Delhi,222936.0,148264.0,371200.0,Deploy Mobile Biometric Kits
Indore,221624.0,139307.0,360931.0,Deploy Mobile Biometric Kits
West Godavari,220414.0,93745.0,314159.0,Deploy Mobile Biometric Kits
Coimbatore,219722.0,86107.0,305829.0,Deploy Mobile Biometric Kits
Buldhana,219501.0,84426.0,303927.0,Deploy Mobile Biometric Kits
Murshidabad,219079.0,278441.0,497520.0,Deploy Mobile Biometric Kits
Jodhpur,219033.0,101576.0,320609.0,Deploy Mobile Biometric Kits
